template,building_type,space_type,min_stories,max_stories,spandrel,ExteriorWall,ExteriorFloor,ExteriorRoof,Interior Walls,Interior Floors,Interior Ceilings,GroundContactWall,GroundContactFloor,GroundContactRoof,ExteriorFixedWindow,ExteriorOperableWindow,ExteriorDoor,ExteriorGlassDoor,ExteriorOverheadDoor,ExteriorSkylight,ExteriorTubularDaylightDome,ExteriorTubularDaylightDiffuser,Interior Fixed Windows,Interior Operable Windows,Interior Doors,Interior Partitions,ext_operable_window_type,ext_glass_door,ext_skylight,ext_tubular_domes,ext_tubular_diffusers,Fixture_type_less_than_2.4m_ht,Fixture_type_2.41_to_4.8m_ht,Fixture_type_greater_than_>4.81m_ht
NECB 2011,Gymnasium,WholeBuilding,1,999,Nil,BTAP-ExteriorWall-Mass-2,BTAP-ExteriorFloor-SteelFramed-1,BTAP-ExteriorRoof-IEAD-4,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,BTAP-GroundContactWall-Mass-2,BTAP-GroundContactFloor-Unheated-1,BTAP-GroundContactRoof-Mass-2,BTAP-ExteriorWindow-FixedWindow-6,BTAP-ExteriorWindow-OperableWindow-6,BTAP-ExteriorDoor-Metal-1,BTAP-GlassDoor-GlazedDoor-2,BTAP-ExteriorOverheadDoor-Metal-1,BTAP-Skylight-1,BTAP-Skylight-1,BTAP-Skylight-1,Typical Interior Window,Typical Interior Window,Typical Interior Door,Typical Interior Partition,8,3,1,1,1,2,9,9
NECB 2011,Health-care clinic,WholeBuilding,1,2,Nil,BTAP-ExteriorWall-WoodFramed-5,BTAP-ExteriorFloor-SteelFramed-1,BTAP-ExteriorRoof-IEAD-4,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,BTAP-GroundContactWall-Mass-2,BTAP-GroundContactFloor-Unheated-1,BTAP-GroundContactRoof-Mass-2,BTAP-ExteriorWindow-FixedWindow-4,BTAP-ExteriorWindow-OperableWindow-3,BTAP-ExteriorDoor-Metal-1,BTAP-GlassDoor-GlazedDoor-2,BTAP-ExteriorOverheadDoor-Metal-1,BTAP-Skylight-2,BTAP-Skylight-2,BTAP-Skylight-2,Typical Interior Window,Typical Interior Window,Typical Interior Door,Typical Interior Partition,5,3,2,2,2,1,7,9
NECB 2011,Health-care clinic,WholeBuilding,3,999,BTAP-ExteriorWall-Metal-2,BTAP-ExteriorWall-Mass-4,BTAP-ExteriorFloor-SteelFramed-1,BTAP-ExteriorRoof-IEAD-4,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,BTAP-GroundContactWall-Mass-2,BTAP-GroundContactFloor-Unheated-1,BTAP-GroundContactRoof-Mass-2,BTAP-ExteriorWindow-FixedWindow-1,BTAP-ExteriorWindow-OperableWindow-1,BTAP-ExteriorDoor-Metal-1,BTAP-GlassDoor-GlazedDoor-2,BTAP-ExteriorOverheadDoor-Metal-1,BTAP-Skylight-2,BTAP-Skylight-2,BTAP-Skylight-2,Typical Interior Window,Typical Interior Window,Typical Interior Door,Typical Interior Partition,1,3,2,2,2,1,7,9
NECB 2011,Hospital,WholeBuilding,1,999,Nil,BTAP-ExteriorWall-Mass-4,BTAP-ExteriorFloor-SteelFramed-1,BTAP-ExteriorRoof-IEAD-4,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,BTAP-GroundContactWall-Mass-2,BTAP-GroundContactFloor-Unheated-1,BTAP-GroundContactRoof-Mass-2,BTAP-ExteriorWindow-FixedWindow-4,BTAP-ExteriorWindow-OperableWindow-3,BTAP-ExteriorDoor-Metal-1,BTAP-GlassDoor-GlazedDoor-2,BTAP-ExteriorOverheadDoor-Metal-1,BTAP-Skylight-2,BTAP-Skylight-2,BTAP-Skylight-2,Typical Interior Window,Typical Interior Window,Typical Interior Door,Typical Interior Partition,5,3,2,2,2,2,7,10
NECB 2011,Hotel,WholeBuilding,1,4,Nil,BTAP-ExteriorWall-WoodFramed-5,BTAP-ExteriorFloor-SteelFramed-1,BTAP-ExteriorRoof-IEAD-4,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,BTAP-GroundContactWall-Mass-2,BTAP-GroundContactFloor-Unheated-1,BTAP-GroundContactRoof-Mass-2,BTAP-ExteriorWindow-FixedWindow-4,BTAP-ExteriorWindow-OperableWindow-3,BTAP-ExteriorDoor-Metal-1,BTAP-GlassDoor-GlazedDoor-2,BTAP-ExteriorOverheadDoor-Metal-1,BTAP-Skylight-2,BTAP-Skylight-2,BTAP-Skylight-2,Typical Interior Window,Typical Interior Window,Typical Interior Door,Typical Interior Partition,5,3,2,2,2,2,7,9
NECB 2011,Hotel,WholeBuilding,5,999,BTAP-ExteriorWall-Metal-2,BTAP-ExteriorWall-Mass-4,BTAP-ExteriorFloor-SteelFramed-1,BTAP-ExteriorRoof-IEAD-4,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,BTAP-GroundContactWall-Mass-2,BTAP-GroundContactFloor-Unheated-1,BTAP-GroundContactRoof-Mass-2,BTAP-ExteriorWindow-FixedWindow-1,BTAP-ExteriorWindow-OperableWindow-1,BTAP-ExteriorDoor-Metal-1,BTAP-GlassDoor-GlazedDoor-2,BTAP-ExteriorOverheadDoor-Metal-1,BTAP-Skylight-2,BTAP-Skylight-2,BTAP-Skylight-2,Typical Interior Window,Typical Interior Window,Typical Interior Door,Typical Interior Partition,1,3,2,2,2,2,7,9
NECB 2011,Library,WholeBuilding,1,2,Nil,BTAP-ExteriorWall-WoodFramed-5,BTAP-ExteriorFloor-SteelFramed-1,BTAP-ExteriorRoof-IEAD-4,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,BTAP-GroundContactWall-Mass-2,BTAP-GroundContactFloor-Unheated-1,BTAP-GroundContactRoof-Mass-2,BTAP-ExteriorWindow-FixedWindow-6,BTAP-ExteriorWindow-OperableWindow-5,BTAP-ExteriorDoor-Metal-1,BTAP-GlassDoor-GlazedDoor-2,BTAP-ExteriorOverheadDoor-Metal-1,BTAP-Skylight-2,BTAP-Skylight-2,BTAP-Skylight-2,Typical Interior Window,Typical Interior Window,Typical Interior Door,Typical Interior Partition,7,3,2,2,2,2,7,18
NECB 2011,Library,WholeBuilding,3,999,BTAP-ExteriorWall-Metal-2,BTAP-ExteriorWall-Mass-4,BTAP-ExteriorFloor-SteelFramed-1,BTAP-ExteriorRoof-IEAD-4,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,BTAP-GroundContactWall-Mass-2,BTAP-GroundContactFloor-Unheated-1,BTAP-GroundContactRoof-Mass-2,BTAP-ExteriorWindow-FixedWindow-1,BTAP-ExteriorWindow-OperableWindow-1,BTAP-ExteriorDoor-Metal-1,BTAP-GlassDoor-GlazedDoor-2,BTAP-ExteriorOverheadDoor-Metal-1,BTAP-Skylight-2,BTAP-Skylight-2,BTAP-Skylight-2,Typical Interior Window,Typical Interior Window,Typical Interior Door,Typical Interior Partition,1,3,2,2,2,2,7,18
NECB 2011,Manufacturing facility,WholeBuilding,1,999,Nil,BTAP-ExteriorWall-Metal-1,BTAP-ExteriorFloor-SteelFramed-1,BTAP-ExteriorRoof-IEAD-4,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,BTAP-GroundContactWall-Mass-2,BTAP-GroundContactFloor-Unheated-1,BTAP-GroundContactRoof-Mass-2,BTAP-ExteriorWindow-FixedWindow-4,BTAP-ExteriorWindow-OperableWindow-3,BTAP-ExteriorDoor-Metal-1,BTAP-GlassDoor-GlazedDoor-2,BTAP-ExteriorOverheadDoor-Metal-1,BTAP-Skylight-1,BTAP-Skylight-1,BTAP-Skylight-1,Typical Interior Window,Typical Interior Window,Typical Interior Door,Typical Interior Partition,5,3,1,1,1,2,9,14
NECB 2011,Motel,WholeBuilding,1,4,Nil,BTAP-ExteriorWall-WoodFramed-5,BTAP-ExteriorFloor-SteelFramed-1,BTAP-ExteriorRoof-IEAD-4,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,BTAP-GroundContactWall-Mass-1,BTAP-GroundContactFloor-Unheated-1,BTAP-GroundContactRoof-Mass-1,BTAP-ExteriorWindow-FixedWindow-4,BTAP-ExteriorWindow-OperableWindow-3,BTAP-ExteriorDoor-Metal-1,BTAP-GlassDoor-GlazedDoor-2,BTAP-ExteriorOverheadDoor-Metal-1,BTAP-Skylight-2,BTAP-Skylight-2,BTAP-Skylight-2,Typical Interior Window,Typical Interior Window,Typical Interior Door,Typical Interior Partition,5,3,2,2,2,2,7,9
NECB 2011,Motel,WholeBuilding,5,999,Nil,BTAP-ExteriorWall-Mass-4,BTAP-ExteriorFloor-SteelFramed-1,BTAP-ExteriorRoof-IEAD-4,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,BTAP-GroundContactWall-Mass-2,BTAP-GroundContactFloor-Unheated-1,BTAP-GroundContactRoof-Mass-2,BTAP-ExteriorWindow-FixedWindow-4,BTAP-ExteriorWindow-OperableWindow-3,BTAP-ExteriorDoor-Metal-1,BTAP-GlassDoor-GlazedDoor-2,BTAP-ExteriorOverheadDoor-Metal-1,BTAP-Skylight-2,BTAP-Skylight-2,BTAP-Skylight-2,Typical Interior Window,Typical Interior Window,Typical Interior Door,Typical Interior Partition,5,3,2,2,2,2,7,9
NECB 2011,Motion picture theatre,WholeBuilding,1,999,Nil,BTAP-ExteriorWall-Mass-2,BTAP-ExteriorFloor-SteelFramed-1,BTAP-ExteriorRoof-IEAD-4,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,BTAP-GroundContactWall-Mass-2,BTAP-GroundContactFloor-Unheated-1,BTAP-GroundContactRoof-Mass-2,BTAP-ExteriorWindow-FixedWindow-6,BTAP-ExteriorWindow-OperableWindow-6,BTAP-ExteriorDoor-Metal-1,BTAP-GlassDoor-GlazedDoor-2,BTAP-ExteriorOverheadDoor-Metal-1,BTAP-Skylight-2,BTAP-Skylight-2,BTAP-Skylight-2,Typical Interior Window,Typical Interior Window,Typical Interior Door,Typical Interior Partition,8,3,2,2,2,2,7,17
NECB 2011,Multi-unit residential,WholeBuilding,1,4,Nil,BTAP-ExteriorWall-WoodFramed-5,BTAP-ExteriorFloor-WoodFramed-1,BTAP-ExteriorRoof-IEAD-4,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,BTAP-GroundContactWall-Mass-2,BTAP-GroundContactFloor-Unheated-1,BTAP-GroundContactRoof-Mass-2,BTAP-ExteriorWindow-FixedWindow-4,BTAP-ExteriorWindow-OperableWindow-3,BTAP-ExteriorDoor-Metal-1,BTAP-GlassDoor-GlazedDoor-2,BTAP-ExteriorOverheadDoor-Metal-1,BTAP-Skylight-1,BTAP-Skylight-1,BTAP-Skylight-1,Typical Interior Window,Typical Interior Window,Typical Interior Door,Typical Interior Partition,5,3,2,2,2,1,6,9
NECB 2011,Multi-unit residential,WholeBuilding,5,999,BTAP-ExteriorWall-Metal-2,BTAP-ExteriorWall-Mass-4,BTAP-ExteriorFloor-SteelFramed-1,BTAP-ExteriorRoof-IEAD-4,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,BTAP-GroundContactWall-Mass-2,BTAP-GroundContactFloor-Unheated-1,BTAP-GroundContactRoof-Mass-2,BTAP-ExteriorWindow-FixedWindow-1,BTAP-ExteriorWindow-OperableWindow-1,BTAP-ExteriorDoor-Metal-1,BTAP-GlassDoor-GlazedDoor-2,BTAP-ExteriorOverheadDoor-Metal-1,BTAP-Skylight-1,BTAP-Skylight-1,BTAP-Skylight-1,Typical Interior Window,Typical Interior Window,Typical Interior Door,Typical Interior Partition,1,3,2,2,2,1,6,9
NECB 2011,Museum,WholeBuilding,1,2,Nil,BTAP-ExteriorWall-Mass-4,BTAP-ExteriorFloor-SteelFramed-1,BTAP-ExteriorRoof-IEAD-4,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,BTAP-GroundContactWall-Mass-2,BTAP-GroundContactFloor-Unheated-1,BTAP-GroundContactRoof-Mass-2,BTAP-ExteriorWindow-FixedWindow-6,BTAP-ExteriorWindow-OperableWindow-6,BTAP-ExteriorDoor-Metal-1,BTAP-GlassDoor-GlazedDoor-2,BTAP-ExteriorOverheadDoor-Metal-1,BTAP-Skylight-2,BTAP-Skylight-2,BTAP-Skylight-2,Typical Interior Window,Typical Interior Window,Typical Interior Door,Typical Interior Partition,8,3,2,2,2,2,17,17
NECB 2011,Museum,WholeBuilding,3,999,BTAP-ExteriorWall-Metal-2,BTAP-ExteriorWall-Mass-4,BTAP-ExteriorFloor-SteelFramed-1,BTAP-ExteriorRoof-IEAD-4,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,BTAP-GroundContactWall-Mass-2,BTAP-GroundContactFloor-Unheated-1,BTAP-GroundContactRoof-Mass-2,BTAP-ExteriorWindow-FixedWindow-1,BTAP-ExteriorWindow-OperableWindow-1,BTAP-ExteriorDoor-Metal-1,BTAP-GlassDoor-GlazedDoor-2,BTAP-ExteriorOverheadDoor-Metal-1,BTAP-Skylight-2,BTAP-Skylight-2,BTAP-Skylight-2,Typical Interior Window,Typical Interior Window,Typical Interior Door,Typical Interior Partition,1,3,2,2,2,2,17,17
NECB 2011,Office,WholeBuilding,1,2,Nil,BTAP-ExteriorWall-WoodFramed-5,BTAP-ExteriorFloor-SteelFramed-1,BTAP-ExteriorRoof-IEAD-4,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,BTAP-GroundContactWall-Mass-2,BTAP-GroundContactFloor-Unheated-1,BTAP-GroundContactRoof-Mass-2,BTAP-ExteriorWindow-FixedWindow-6,BTAP-ExteriorWindow-OperableWindow-5,BTAP-ExteriorDoor-Metal-1,BTAP-GlassDoor-GlazedDoor-2,BTAP-ExteriorOverheadDoor-Metal-1,BTAP-Skylight-2,BTAP-Skylight-2,BTAP-Skylight-2,Typical Interior Window,Typical Interior Window,Typical Interior Door,Typical Interior Partition,7,3,2,2,2,2,7,9
NECB 2011,Office,WholeBuilding,3,999,BTAP-ExteriorWall-Metal-2,BTAP-ExteriorWall-Mass-4,BTAP-ExteriorFloor-SteelFramed-1,BTAP-ExteriorRoof-IEAD-4,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,BTAP-GroundContactWall-Mass-2,BTAP-GroundContactFloor-Unheated-1,BTAP-GroundContactRoof-Mass-2,BTAP-ExteriorWindow-FixedWindow-1,BTAP-ExteriorWindow-OperableWindow-1,BTAP-ExteriorDoor-Metal-1,BTAP-GlassDoor-GlazedDoor-2,BTAP-ExteriorOverheadDoor-Metal-1,BTAP-Skylight-2,BTAP-Skylight-2,BTAP-Skylight-2,Typical Interior Window,Typical Interior Window,Typical Interior Door,Typical Interior Partition,1,3,2,2,2,2,7,9
NECB 2011,Parking garage,WholeBuilding,1,999,Nil,BTAP-ExteriorWall-Mass-6,BTAP-ExteriorFloor-SteelFramed-1,BTAP-ExteriorRoof-IEAD-4,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,BTAP-GroundContactWall-Mass-2,BTAP-GroundContactFloor-Unheated-1,BTAP-GroundContactRoof-Mass-2,BTAP-ExteriorWindow-FixedWindow-6,BTAP-ExteriorWindow-OperableWindow-6,BTAP-ExteriorDoor-Metal-1,BTAP-GlassDoor-GlazedDoor-2,BTAP-ExteriorOverheadDoor-Metal-1,BTAP-Skylight-1,BTAP-Skylight-1,BTAP-Skylight-1,Typical Interior Window,Typical Interior Window,Typical Interior Door,Typical Interior Partition,8,3,1,1,1,1,9,9
NECB 2011,Penitentiary,WholeBuilding,1,999,Nil,BTAP-ExteriorWall-Mass-2,BTAP-ExteriorFloor-SteelFramed-1,BTAP-ExteriorRoof-IEAD-4,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,BTAP-GroundContactWall-Mass-1,BTAP-GroundContactFloor-Unheated-1,BTAP-GroundContactRoof-Mass-1,BTAP-ExteriorWindow-FixedWindow-6,BTAP-ExteriorWindow-OperableWindow-6,BTAP-ExteriorDoor-Metal-1,BTAP-GlassDoor-GlazedDoor-2,BTAP-ExteriorOverheadDoor-Metal-1,BTAP-Skylight-1,BTAP-Skylight-1,BTAP-Skylight-1,Typical Interior Window,Typical Interior Window,Typical Interior Door,Typical Interior Partition,8,3,1,1,1,2,7,9
NECB 2011,Performing arts theatre,WholeBuilding,1,999,Nil,BTAP-ExteriorWall-Mass-4,BTAP-ExteriorFloor-SteelFramed-1,BTAP-ExteriorRoof-IEAD-4,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,BTAP-GroundContactWall-Mass-2,BTAP-GroundContactFloor-Unheated-1,BTAP-GroundContactRoof-Mass-2,BTAP-ExteriorWindow-FixedWindow-6,BTAP-ExteriorWindow-OperableWindow-6,BTAP-ExteriorDoor-Metal-1,BTAP-GlassDoor-GlazedDoor-2,BTAP-ExteriorOverheadDoor-Metal-1,BTAP-Skylight-2,BTAP-Skylight-2,BTAP-Skylight-2,Typical Interior Window,Typical Interior Window,Typical Interior Door,Typical Interior Partition,8,3,2,2,2,3,7,17
NECB 2011,Police station,WholeBuilding,1,999,Nil,BTAP-ExteriorWall-Mass-2,BTAP-ExteriorFloor-SteelFramed-1,BTAP-ExteriorRoof-IEAD-4,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,BTAP-GroundContactWall-Mass-1,BTAP-GroundContactFloor-Unheated-1,BTAP-GroundContactRoof-Mass-1,BTAP-ExteriorWindow-FixedWindow-6,BTAP-ExteriorWindow-OperableWindow-5,BTAP-ExteriorDoor-Metal-1,BTAP-GlassDoor-GlazedDoor-2,BTAP-ExteriorOverheadDoor-Metal-1,BTAP-Skylight-1,BTAP-Skylight-1,BTAP-Skylight-1,Typical Interior Window,Typical Interior Window,Typical Interior Door,Typical Interior Partition,7,3,1,1,1,2,9,9
NECB 2011,Post office,WholeBuilding,1,2,Nil,BTAP-ExteriorWall-WoodFramed-5,BTAP-ExteriorFloor-SteelFramed-1,BTAP-ExteriorRoof-IEAD-4,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,BTAP-GroundContactWall-Mass-2,BTAP-GroundContactFloor-Unheated-1,BTAP-GroundContactRoof-Mass-2,BTAP-ExteriorWindow-FixedWindow-6,BTAP-ExteriorWindow-OperableWindow-6,BTAP-ExteriorDoor-Metal-1,BTAP-GlassDoor-GlazedDoor-2,BTAP-ExteriorOverheadDoor-Metal-1,BTAP-Skylight-2,BTAP-Skylight-2,BTAP-Skylight-2,Typical Interior Window,Typical Interior Window,Typical Interior Door,Typical Interior Partition,8,3,2,2,2,1,7,9
NECB 2011,Post office,WholeBuilding,3,999,BTAP-ExteriorWall-Metal-2,BTAP-ExteriorWall-WoodFramed-5,BTAP-ExteriorFloor-SteelFramed-1,BTAP-ExteriorRoof-IEAD-4,Typical Interior Wall,Typical Interior Floor,Typical Interior Ceiling,BTAP-GroundContactWall-Mass-2,BTAP-GroundContactFloor-Unheated-1,BTAP-GroundContactRoof-Mass-2,BTAP-ExteriorWindow-FixedWindow-1,BTAP-ExteriorWindow-OperableWindow-1,BTAP-ExteriorDoor-Metal-1,BTAP-GlassDoor-GlazedDoor-2,BTAP-ExteriorOverheadDoor-Metal-1,BTAP-Skylight-2,BTAP-Skylight-2,BTAP-Skylight-2,Typical Interior Window,Typical Interior Window,Typical Interior Door,Typical Interior Partition,1,3,2,2,2,1,7,9
